localminute,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,Power_consumption,Big Delta,rrh_0,rrh_1,rrh_2,rrh_3,rrh_4,rrh_5,rrh_6,rrh_7,rrh_8,rrh_9,rrh_10,rrh_11,rrh_12,rrh_13,rrh_14,rrh_15,rrh_16,rrh_17,rrh_18,rrh_19,rrh_20,rrh_21,rrh_22
1-Jan-00,0.590416667,0.942716667,0.8741,1.49106553,0.523083333,1.195883333,0.718316667,1.809266667,0.840733333,2.160933333,1.790933333,0.919066667,2.418966667,0.964783333,0.916466667,4.465066667,0.712366667,0.626833333,5.30375,2.5535,1.018916667,0.779583333,2.047923701,35.66467256,23.89533062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-01,0.442016667,0.754119048,0.809616667,1.920383333,0.49025,1.249983333,0.609624615,0.859664013,1.105766667,2.196566667,1.2814,0.457670965,1.488216667,0.537807514,1.311597751,2.662666667,0.6537,0.6412,10.45246667,1.256107218,0.838068706,0.60425,2.047923701,34.67106686,23.2296148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-02,0.482916667,1.10965,0.76155,1.4966,0.51215,1.191633333,0.514383333,1.369716667,0.854833333,2.234966667,0.814166667,0.842283333,1.422583333,0.756733333,0.994683333,3.697833333,0.6472,0.620116667,9.842266667,2.845666667,0.93925,-0.521833333,2.047923701,35.99910703,24.11940171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-03,0.526783333,0.862533333,0.698183333,1.49106553,0.535066667,1.205983333,0.76355,1.67375,0.82645,2.184583333,0.833466667,0.86105,1.379116667,0.503266667,1.084783333,3.6297,0.641033333,0.61145,9.882166667,2.8798,1.000216667,-0.853883333,2.047923701,36.12192256,24.20168812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-04,0.422783333,1.548433333,0.73235,1.49106553,0.511083333,1.1102,0.591666667,1.4882,1.185866667,2.306033333,0.908033333,0.832866667,1.36755,0.47895,0.94235,2.221833333,0.641316667,0.572133333,10.81973333,2.885066667,0.95665,-0.5462,2.047923701,36.06208923,24.16159978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-05,0.47315,1.42485,0.7173,1.114183333,0.5053,1.19115,0.4873,1.580816667,1.358516667,1.803316667,0.783283333,0.819916667,1.4127,0.61555,0.993616667,3.416433333,0.659116667,0.721166667,10.17735,2.890466667,0.9672,-0.567133333,2.047923701,36.16060703,24.22760671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-06,0.938183333,0.713416667,0.769933333,0.861016667,0.546666667,1.134683333,0.628566667,1.34705,1.351166667,1.647266667,0.775283333,0.826566667,1.5885,0.482233333,0.946666667,4.018666667,0.6396,0.574766667,10.4548,2.439416667,1.472133333,-0.87245,2.047923701,36.20450703,24.25701971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-07,0.741683333,1.144633333,0.7546,1.49106553,0.7876,1.179566667,0.792,1.554083333,1.36505,1.4542,0.821016667,0.888766667,1.362033333,0.935283333,0.969183333,3.620583333,0.6255,0.861916667,9.447916667,2.348783333,1.344216667,-0.543733333,2.047923701,36.5376059,24.48019595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-08,0.167666667,0.30715,0.603716667,1.744333333,0.338866667,0.76405,1.444316667,1.10615,1.12075,1.412,0.51325,1.002966667,1.0954,0.678566667,0.914883333,2.831216667,0.636033333,1.204083333,9.797983333,2.037616667,2.045516667,-0.234583333,2.047923701,33.81444037,22.65567505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-09,0.330333333,-0.620366667,0.386766667,1.49106553,-0.489183333,-0.062083333,0.161733333,0.406433333,0.17955,1.340216667,0.380916667,-0.1076,0.517216667,0.293833333,0.95665,2.94175,0.811683333,0.839,4.958166667,1.020983333,1.631583333,0.568633333,2.047923701,21.26443923,14.24717428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-10,-0.972283333,-0.858083333,0.1241,1.49106553,-0.68025,-0.3705,-0.119716667,-0.13345,-0.651483333,1.26925,0.229616667,-0.356783333,0.323033333,-0.331266667,0.9427,2.639066667,0.808,0.456766667,3.582966667,0.82925,2.14445,1.05105,2.047923701,17.93923923,12.01929028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-11,1.32925,-1.170316667,-0.9116,0.474816667,-1.074533333,-0.8383,-0.9866,0.884983333,-1.355266667,1.4961,0.306766667,-0.9063,-0.52745,0.537807514,0.905866667,2.116633333,0.820883333,0.241333333,1.663666667,0.758666667,1.51885,1.422416667,2.047923701,16.52596455,11.07239625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-12,0.2574,-1.009483333,-0.859783333,1.49106553,-0.9111,-0.536316667,-1.249316667,-0.57015,-1.240383333,1.7246,0.058383333,-0.90845,-0.291183333,0.019333333,0.915483333,4.33625,0.902583333,-0.10405,0.004783333,1.1092,1.51885,0.956783333,2.047923701,15.34263923,10.27956828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-13,-0.738883333,-0.30285,-0.436066667,1.49106553,-0.58295,-0.42825,-0.618416667,0.644466667,-0.761683333,1.782316667,0.131283333,-0.242533333,0.592733333,0.247483333,0.9152,2.3277,0.720283333,0.10915,1.5446,1.953283333,1.5119,0.641366667,2.047923701,16.6607559,11.16270645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-14,-0.4837,-0.037633333,-0.272966667,1.49106553,-0.403183333,-0.2515,-0.1361,1.131866667,-0.6466,1.281016667,0.291766667,-0.567816667,1.10135,0.537807514,0.899516667,2.41025,0.884083333,0.298866667,6.844866667,1.5006,1.24645,0.5085,2.047923701,22.47593008,15.05887315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-15,-0.137766667,0.33795,0.310666667,1.49106553,0.062866667,0.227166667,0.000316667,0.563366667,1.44515,1.388466667,1.047266667,0.574416667,1.761483333,1.085,0.852833333,1.87855,0.9671,0.696233333,5.281833333,4.504666667,1.442966667,0.0706,2.047923701,28.03788923,18.78538578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-16,2.861516667,0.2647,0.40395,1.49106553,0.19,0.175333333,0.16585,0.925166667,2.385316667,1.36735,0.98965,0.382166667,1.641283333,1.158416667,0.892483333,1.200383333,0.89065,1.109566667,4.422733333,6.38775,1.493583333,-0.405633333,2.047923701,32.84683923,22.00738228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-17,0.74025,0.602616667,0.963916667,1.49106553,0.815366667,0.52835,0.85805,1.332833333,2.179966667,1.309083333,3.410883333,0.88675,2.0815,1.674583333,0.950366667,3.594016667,1.031283333,1.534116667,2.8333,6.0768,1.544933333,-0.51745,2.047923701,38.4879559,25.78693045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-18,1.662783333,1.5633,2.2756,2.745616667,0.533533333,0.950333333,1.48435,1.405583333,2.5419,1.25125,1.922633333,1.051466667,2.749016667,1.69315,1.336616667,3.440716667,0.6985,1.6007,4.8828,2.87735,1.594266667,0.56835,2.047923701,42.87774037,28.72808605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-19,2.281483333,1.680583333,1.2747,2.12925,0.658466667,1.052833333,0.925916667,1.813416667,2.85365,1.28105,1.945416667,1.460466667,1.93235,1.799316667,1.446383333,3.953716667,0.786783333,1.4788,4.866,2.868066667,1.420516667,0.797283333,2.047923701,42.7543737,28.64543038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-20,1.645,1.579966667,1.115783333,2.2241,0.699733333,1.211633333,1.799966667,1.378416667,2.864733333,1.243933333,1.627933333,1.113066667,1.892833333,1.672016667,1.593983333,4.851383333,0.921466667,1.31035,3.641933333,2.893816667,1.407516667,0.579066667,2.047923701,41.31655703,27.68209321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-21,1.103466667,0.944816667,1.108,1.805233333,0.635,1.441616667,5.375816667,1.348716667,2.228466667,1.396016667,1.469816667,0.9672,1.756116667,1.4741,1.44315,3.017366667,0.853083333,0.98175,5.4593,4.278633333,1.247833333,0.52525,2.047923701,42.9086737,28.74881138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-22,0.632233333,1.023,0.763233333,1.674383333,0.49325,2.404583333,2.560916667,1.37385,2.299366667,1.344916667,1.695466667,0.933233333,1.54135,0.612216667,1.4098,4.621383333,0.687933333,0.760233333,5.440566667,2.63805,1.065966667,0.717566667,2.047923701,38.7414237,25.95675388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-23,0.467533333,0.901283333,0.703766667,0.859714286,0.5016,1.352266667,0.696616667,1.203183333,0.88955,1.136916667,1.282566667,0.454766667,1.537033333,0.979533333,1.178216667,3.25225,0.37275,0.693633333,4.895766667,3.036183333,0.951316667,0.6104,2.047923701,30.00477132,20.10319678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-00,0.520516667,0.472033333,0.712016667,1.01525,0.511716667,1.212366667,0.296633333,1.131166667,0.402233333,0.8637,0.769883333,0.594866667,1.467316667,0.469583333,0.899466667,2.639666667,0.310233333,0.6392,5.17715,3.1256,0.941116667,-0.56245,2.047923701,26.21964037,17.56715905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-01,0.4647,0.601966667,0.6237,1.113233333,0.52905,1.1735,0.284583333,0.939283333,0.390416667,0.9404,0.787083333,0.6938,1.4777,0.702266667,0.868133333,3.520166667,0.3057,0.604633333,4.6841,3.2756,0.789166667,-0.781566667,2.047923701,26.81710703,17.96746171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-02,0.453316667,0.65505,0.645816667,0.87285,0.518633333,1.151816667,0.436416667,1.025766667,0.386066667,0.9159,0.68915,0.673666667,1.36295,0.832433333,0.908483333,3.366316667,0.285933333,0.601983333,3.735,3.277516667,0.7921,-0.57445,2.047923701,25.63509037,17.17551055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-03,0.583433333,0.889616667,0.674216667,1.13995,0.57365,0.95955,0.642133333,1.1182,0.386083333,0.879683333,0.768616667,0.59105,1.431583333,0.416766667,0.85565,3.404516667,0.285016667,0.621533333,3.978266667,3.23365,0.818033333,-0.83245,2.047923701,26.2991237,17.62041288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-04,0.6224,1.238416667,0.641183333,0.9383,0.52225,0.975616667,0.654966667,1.119933333,1.216733333,0.966316667,0.741933333,0.606966667,1.4213,0.8531,0.93435,2.027983333,0.3315,0.547716667,4.451883333,3.391866667,0.77975,-0.554483333,2.047923701,27.03239037,18.11170155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-05,0.66445,1.18275,0.697166667,1.038033333,0.518616667,0.941766667,0.51035,1.170933333,1.380016667,1.179216667,0.778166667,0.7098,1.355766667,0.5532,0.874833333,3.869833333,0.656383333,0.57945,4.2559,3.36205,1.114516667,-0.53095,2.047923701,29.4411237,19.72555288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-06,0.786916667,0.479816667,0.778733333,1.331616667,0.51735,0.93955,0.577216667,1.060533333,1.406166667,1.075816667,0.753533333,0.89355,1.348783333,0.3547,0.888016667,2.54705,0.51905,1.115816667,4.202216667,3.315833333,1.328,-1.010683333,2.047923701,28.26819037,18.93968755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
