localminute,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,Power_consumption,Big Delta,rrh_0,rrh_1,rrh_2,rrh_3,rrh_4,rrh_5,rrh_6,rrh_7,rrh_8,rrh_9,rrh_10,rrh_11,rrh_12,rrh_13,rrh_14,rrh_15,rrh_16,rrh_17,rrh_18,rrh_19,rrh_20,rrh_21,rrh_22
1-Jan-00,0.71175,1.769816667,0.312683333,0.434366667,0.8438,0.308683333,1.011116667,0.5944,1.466466667,0.12095,0.543066667,1.153616667,0.145116667,0.256,0.860316667,0.26455,0.17745,0.355716667,0.2758,0.486083333,0.65025,0.597866667,0.4901,13.82996667,9.404377333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-01,0.5998,0.973833333,0.240133333,0.1438,0.414816667,0.352866667,1.0253,0.489766667,1.386883333,0.298016667,0.603433333,1.124116667,0.144183333,0.201883333,0.671716667,0.468783333,0.164383333,0.476266667,0.329333333,0.38335,0.67435,0.623033333,0.5467,12.33675,8.38899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-02,0.565033333,0.71155,0.177116667,0.176883333,0.4009,0.377383333,1.5192,0.732883333,1.362133333,0.118766667,0.7162,1.0429,0.1417,0.082833333,0.503316667,0.3394,0.138716667,1.018266667,0.298683333,0.410266667,0.8203,0.4825,0.378516667,12.51545,8.510506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-03,0.581983333,0.43005,0.218966667,0.29005,0.393133333,0.208533333,1.336366667,0.754266667,0.605733333,0.154366667,0.663483333,0.59975,0.15005,0.0744,0.41995,0.39465,0.17385,0.631916667,0.295583333,0.437566667,0.8062,0.287233333,0.36555,10.27363333,6.986070667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-04,0.691116667,0.326316667,0.176716667,0.127583333,0.373266667,0.198716667,0.386666667,0.629333333,0.674266667,0.144066667,0.547733333,0.588183333,0.139383333,0.082083333,0.416333333,0.298766667,0.2156,0.315283333,0.326516667,0.451983333,0.56695,0.280433333,0.420466667,8.377766667,5.696881333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-05,0.63595,0.330066667,0.158316667,0.11435,0.412383333,0.207566667,0.234466667,0.753533333,0.492933333,0.116283333,0.54365,0.601916667,0.138483333,0.074483333,0.425,0.271933333,0.298966667,0.243,0.263916667,0.421966667,0.5308,0.37495,0.394266667,8.039183333,5.466644667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-06,0.559083333,0.315,0.236983333,0.109483333,0.436916667,0.196466667,0.40345,0.650283333,0.43995,0.15,0.549866667,0.6037,0.13715,0.087516667,0.504066667,0.25765,0.27325,0.269383333,0.3254,0.43515,0.68805,0.391533333,0.377966667,8.3983,5.710844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-07,0.554016667,0.339383333,0.1572,0.089566667,0.363483333,0.2644,0.2568,0.695566667,0.419266667,0.108133333,0.572983333,0.581816667,0.131316667,0.100016667,0.647816667,0.264966667,0.508066667,0.267366667,0.30025,0.40515,0.555483333,0.375766667,0.223433333,8.18225,5.56393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-08,0.553083333,0.384716667,0.157366667,0.1116,0.636216667,0.725433333,0.42915,0.753316667,0.624716667,0.14815,0.566916667,0.570916667,0.147683333,0.12815,0.732433333,0.276883333,0.5093,0.262166667,0.2864,0.389933333,0.587733333,0.369783333,0.2105,9.56255,6.502534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-09,0.852566667,0.4167,0.236533333,0.140883333,0.4507,0.432,0.377933333,0.614883333,1.030816667,0.140133333,0.565283333,0.593883333,0.156933333,0.25955,1.097166667,0.3769,0.511316667,0.236266667,0.2747,0.617566667,0.650733333,0.27285,0.205116667,10.51141667,7.147763333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
