localminute,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,Power_consumption,Big Delta,rrh_0,rrh_1,rrh_2,rrh_3,rrh_4,rrh_5,rrh_6,rrh_7,rrh_8,rrh_9,rrh_10,rrh_11,rrh_12,rrh_13,rrh_14,rrh_15,rrh_16,rrh_17,rrh_18,rrh_19,rrh_20,rrh_21,rrh_22
1-Jan-00,0.465833333,0.844866667,0.622366667,0.99195,0.616833333,0.289916667,0.853883333,1.9141,2.894533333,0.396166667,0.254083333,0.319583333,0.8003,1.361466667,0.102733333,0.245116667,0.382516667,0.3346,0.727383333,0.31375,0.621533333,0.783166667,0.85295,16.98963333,11.55295067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-01,0.365233333,0.85165,0.702966667,1.276466667,0.5193,0.23645,0.579016667,3.843233333,2.71635,0.383833333,0.168166667,0.2232,0.860933333,1.270216667,0.07255,0.186666667,0.3466,0.3701,0.724133333,0.326366667,0.614433333,0.84615,0.8568,18.34081667,12.47175533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-02,0.3669,0.881716667,0.6902,0.922533333,0.476783333,0.314083333,0.48695,3.131,2.552033333,1.4898,0.2646,0.928233333,0.933583333,0.3377,0.133683333,0.317816667,0.341516667,0.316616667,0.715533333,0.304033333,0.7705,0.48805,0.775033333,17.9389,12.198452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-03,0.370733333,0.813183333,0.6668,0.9145,0.643216667,0.267283333,0.613633333,2.9102,2.456466667,0.878916667,0.389966667,1.2006,0.83095,0.32075,0.081166667,0.2931,0.58955,0.341216667,0.763966667,0.3294,0.709833333,0.435966667,0.8553,17.6767,12.020156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-04,0.3671,1.0055,0.678,0.924483333,0.699783333,0.289466667,0.370166667,3.77535,2.461083333,1.641683333,0.705316667,1.062316667,0.849266667,0.3096,0.157816667,0.262866667,0.657133333,0.35975,0.7085,0.326216667,0.74795,0.229366667,0.945816667,19.53453333,13.28348267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-05,0.466783333,1.2034,0.69985,1.051716667,0.698216667,0.390716667,0.437416667,2.710783333,2.31625,2.141133333,1.99685,1.412366667,1.2293,0.589516667,0.630783333,0.368966667,0.44055,0.488233333,0.9713,0.277283333,0.82475,0.5873,1.32225,23.25571667,15.81388733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-06,0.48105,1.271566667,1.135383333,1.431383333,0.779933333,0.472633333,2.595833333,4.374166667,2.973733333,2.797683333,1.20675,1.479316667,1.154266667,0.85525,0.1923,0.55555,3.088683333,0.4262,0.765583333,0.660933333,1.23035,0.7792,1.387966667,32.09571667,21.82508733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-07,0.2795,0.79435,1.19235,1.91125,1.028733333,0.268733333,0.74995,3.472316667,2.1397,1.908133333,1.038016667,0.682716667,1.3991,0.297333333,0.08585,0.626133333,2.16845,0.5072,0.74165,0.912533333,1.850816667,0.673183333,0.485516667,25.21351667,17.14519133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-08,0.251966667,0.544116667,1.263966667,1.890116667,0.65645,0.305183333,0.61455,0.702,1.788,0.7795,0.8467,0.701966667,1.19275,0.034966667,0.082966667,0.485016667,-0.024533333,0.323566667,0.73155,0.431316667,1.255333333,0.75685,-0.895033333,15.63883333,10.63440667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-09,0.290216667,0.080766667,0.818783333,2.16635,0.706816667,0.4026,3.8769,2.445733333,1.90305,0.151333333,0.68515,0.270283333,1.27165,-0.129816667,0.07685,-0.07615,-0.344816667,0.33825,0.945633333,0.328383333,-0.602683333,0.689933333,-1.6375,17.44868333,11.86510467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-10,0.314316667,-0.485,0.679816667,1.746833333,2.361783333,0.472866667,0.856183333,-2.550233333,1.9354,-1.015816667,-0.090833333,-0.4869,1.146283333,-0.50825,0.0834,-0.17335,-0.751666667,0.3123,0.226533333,0.238216667,-2.802383333,0.683966667,-2.629383333,11.0579,7.519372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-11,0.2511,-1.914733333,0.68725,1.230616667,1.391716667,0.232283333,0.821016667,-6.992466667,1.906816667,-2.026416667,-0.497666667,-1.282933333,1.182233333,-1.106666667,0.06495,-0.92025,-1.24345,0.301816667,0.233616667,0.337216667,-4.9893,0.216133333,-3.80535,8.856766667,6.022601333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-12,0.241883333,-3.59955,0.599566667,1.524783333,-1.067516667,0.301616667,0.442833333,-10.20968333,1.796966667,-3.888816667,-2.45315,-2.012216667,0.98825,-2.185366667,0.06445,-2.0187,-3.026266667,0.285683333,0.219466667,0.416866667,-6.944533333,0.259283333,-8.5075,7.14165,4.856322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-13,0.245516667,-3.546033333,0.912466667,1.509983333,-1.482216667,0.4246,0.4146,-14.41743333,1.8627,-4.04195,-3.044216667,-2.961133333,1.185733333,-2.0357,0.064333333,-2.312783333,-4.286633333,0.279766667,0.225216667,0.56335,-5.883283333,0.188616667,-8.907883333,7.876883333,5.356280667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-14,0.258633333,-1.1266,0.915933333,0.958183333,-0.498666667,0.415683333,0.694316667,-8.054283333,1.754666667,-1.243983333,-1.413416667,-1.8167,0.88895,-0.021533333,0.067116667,-1.404133333,-2.523016667,0.260866667,0.515783333,0.543433333,-3.39965,0.277866667,-4.097783333,7.551433333,5.134974667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-15,0.395616667,-0.569416667,1.1887,0.765266667,-0.352333333,0.392266667,0.531916667,-4.914616667,1.745333333,-1.21445,-0.849783333,-0.847416667,0.739733333,0.3373,0.067683333,-0.730716667,-1.038666667,0.2992,0.516316667,1.706733333,-2.825216667,0.170316667,-2.843083333,8.856383333,6.022340667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-16,0.275383333,0.2733,1.269133333,0.837916667,0.641433333,0.364516667,0.458916667,-0.810116667,1.653316667,0.121166667,0.01045,-0.201416667,0.7406,0.853483333,0.0868,-0.1511,-0.279716667,0.288383333,0.567866667,1.579333333,0.088033333,0.9731,-1.535733333,11.08313333,7.536530667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-17,0.252533333,0.6773,1.095683333,0.885816667,1.56525,0.312816667,0.43575,0.826316667,2.187166667,1.041416667,0.148566667,0.155433333,0.770733333,1.372716667,0.36615,0.539816667,0.48985,0.286616667,0.329966667,1.2251,1.870833333,0.399566667,-0.23865,17.2354,11.720072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
